"ID de registro","Nombre de la empresa","Propietario del registro de empresa","Fecha de creación","Número de teléfono","Última actividad","Ciudad","País/región","Sector"
"41394569995","","","2025-10-14 00:13","","2025-11-10 12:51","","",""
"41414070167","","","2025-10-13 16:17","","2025-10-13 16:17","","",""
"39061957021","Aerolíneas Argentinas","","2025-09-02 12:22","","","","",""
"39074204953","Aeromexico","","2025-09-02 14:50","","","","",""
"39072201502","Air Canada","","2025-09-02 14:40","","","","",""
"39078499888","Air Europa","","2025-09-02 14:42","","","","",""
"39029384475","Air France","","2025-09-02 14:56","","","","",""
"39085247913","Amadeus","","2025-09-02 14:53","","","","",""
"39075869222","American Airlines Group","","2025-09-02 14:49","","2025-09-11 13:22","","",""
"40833888921","Andres","Ariel Fuggini","2025-10-03 16:12","","2025-10-12 19:56","","","Aerolíneas/aviación"
"40240751543","Arajet","Ariel Fuggini","2025-09-25 23:47","","2025-10-23 08:00","","","Aerolíneas/aviación"
"40986730606","BagTag SRL","Ariel Fuggini","2025-10-06 23:19","","2026-01-20 09:48","","",""
"40979075863","BagTag SRL","Ariel Fuggini","2025-10-06 20:36","","2025-11-11 08:00","","",""
"42283488178","Blue Ribbon Bags","","2025-10-22 15:31","","2025-12-15 16:45","","",""
"40288052513","British Airways","Ariel Fuggini","2025-09-25 23:47","","","","","Aerolíneas/aviación"
"39029382217","Cardinal Assistance","","2025-09-02 14:11","","","","",""
"39084793512","Copa Airlines","","2025-09-02 14:34","","","","",""
"40806053531","Crossover","Ariel Fuggini","2025-10-02 13:20","","2025-10-21 12:02","","","Ocio, viajes y turismo"
"40280890405","Domus Airways","Ariel Fuggini","2025-09-25 23:49","","2026-01-05 11:15","","","Aerolíneas/aviación"
"39065177715","Flybondi","","2025-09-02 12:24","","","","",""
"41397335565","Flypass","","2025-10-14 00:10","","2025-10-14 00:10","","",""
"40213613610","Gol Airlines","Ariel Fuggini","2025-09-25 23:46","","2025-10-07 13:00","","","Aerolíneas/aviación"
"40985182509","Iberia","","2025-10-06 23:31","","2025-11-17 08:00","","",""
"40833515430","Iberia","Ariel Fuggini","2025-10-03 16:09","","","","","Aerolíneas/aviación"
"41311637029","INFINITUM AVIATION","","2025-10-09 17:20","","2025-11-06 14:00","","",""
"40768483166","Interassist Travel","","2025-10-03 18:48","","","","",""
"40213613651","Intercargo","Ariel Fuggini","2025-09-26 00:03","","","","","Aerolíneas/aviación"
"42189078882","International Air Transport Association","","2025-10-20 13:25","","2025-10-20 13:25","","",""
"39083561993","ITA Airways","","2025-09-02 14:55","","","","",""
"39014946054","JetSMART","","2025-09-02 14:45","","2025-10-14 10:00","","",""
"39085227332","LATAM Airlines","","2025-09-02 14:30","","2025-10-06 19:53","","",""
"40820985887","London Supply","","2025-10-02 16:46","","2025-10-06 17:06","","",""
"38990310293","Lufthansa","","2025-09-02 14:23","","2025-09-03 08:56","","",""
"40880081501","Metropol","","2025-10-03 19:02","","","","",""
"42031269521","Now Assistance","","2025-10-20 12:52","","2025-10-20 12:55","","",""
"39075388088","OPEN25HS!","","2025-09-02 14:14","","","","",""
"40865295706","Plus Ultra","Ariel Fuggini","2025-10-03 16:11","","","","","Aerolíneas/aviación"
"42269070111","Sabre","","2025-10-21 16:42","","2025-10-22 15:11","","",""
"40833515441","Sky","Ariel Fuggini","2025-10-03 16:10","","2025-10-28 15:49","","","Aerolíneas/aviación"
"40806073640","South African Airways","Ariel Fuggini","2025-10-03 16:09","","2025-11-04 15:32","","","Aerolíneas/aviación"
"40877029895","Sudameria Travel","","2025-10-03 18:54","","","","",""
"39895841932","Turkish Airlines","Ariel Fuggini","2025-09-26 00:31","","","","","Aerolíneas/aviación"
"39072684878","United Airlines","","2025-09-02 14:47","","","","",""
"41309601675","Universal Assistance","","2025-10-09 17:20","","2025-10-31 15:00","","",""
"39081094557","Universal Assistance","","2025-09-02 12:27","","2025-09-02 15:07","","",""
"42031269933","Wiliot","","2025-10-20 13:08","","2025-10-20 13:08","","",""
